
==================================================
🚀 AVVIO GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
{'loss': -0.0402, 'grad_norm': 0.91796875, 'learning_rate': 9.9e-07, 'num_tokens': 10293.0, 'completions/mean_length': 84.725, 'completions/min_length': 53.8, 'completions/max_length': 115.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 84.725, 'completions/min_terminated_length': 53.8, 'completions/max_terminated_length': 115.4, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.2898300409317016, 'rewards/semantic_consistency_reward/mean': -0.020000000298023225, 'rewards/semantic_consistency_reward/std': 0.08141604661941529, 'rewards/conditional_perplexity_reward/mean': 0.12691810131072997, 'rewards/conditional_perplexity_reward/std': 0.03351182602345944, 'reward': 1.0069180727005005, 'reward_std': 2.4930596590042113, 'frac_reward_zero_std': 0.0, 'entropy': 1.5017568737268447, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 40.26380831992719, 'epoch': 0.03}
{'loss': -0.0127, 'grad_norm': 0.6875, 'learning_rate': 7.524999999999999e-07, 'num_tokens': 209990.0, 'completions/mean_length': 91.55, 'completions/min_length': 56.4, 'completions/max_length': 141.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 88.97857208251953, 'completions/min_terminated_length': 56.4, 'completions/max_terminated_length': 123.4, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.725, 'rewards/strict_format_and_content_reward/std': 0.77781742811203, 'rewards/semantic_consistency_reward/mean': 0.1449999988079071, 'rewards/semantic_consistency_reward/std': 0.4524150252342224, 'rewards/conditional_perplexity_reward/mean': 0.12421567589044571, 'rewards/conditional_perplexity_reward/std': 0.03885749168694019, 'reward': 1.7442157030105592, 'reward_std': 1.5762389302253723, 'frac_reward_zero_std': 0.0, 'entropy': 1.5257318705320357, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 50.05845315994229, 'epoch': 0.5}
{'eval_loss': 0.011975226923823357, 'eval_runtime': 1078.1609, 'eval_samples_per_second': 0.046, 'eval_steps_per_second': 0.006, 'eval_num_tokens': 209990.0, 'eval_completions/mean_length': 92.265, 'eval_completions/min_length': 57.12, 'eval_completions/max_length': 151.0, 'eval_completions/clipped_ratio': 0.025, 'eval_completions/mean_terminated_length': 89.53000091552734, 'eval_completions/min_terminated_length': 57.12, 'eval_completions/max_terminated_length': 137.8, 'eval_rewards/lazy_penalty_reward/mean': -0.275, 'eval_rewards/lazy_penalty_reward/std': 0.6691952991485596, 'eval_rewards/strict_format_and_content_reward/mean': 1.51, 'eval_rewards/strict_format_and_content_reward/std': 1.1401695561408998, 'eval_rewards/semantic_consistency_reward/mean': 0.08599999576807021, 'eval_rewards/semantic_consistency_reward/std': 0.19282654285430909, 'eval_rewards/conditional_perplexity_reward/mean': 0.12559875816106797, 'eval_rewards/conditional_perplexity_reward/std': 0.03987891308963299, 'eval_reward': 1.4465987515449523, 'eval_reward_std': 1.9318603075295686, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.6291999959945678, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.5}
{'loss': -0.0676, 'grad_norm': 0.70703125, 'learning_rate': 7.4e-07, 'num_tokens': 220354.0, 'completions/mean_length': 89.3, 'completions/min_length': 64.2, 'completions/max_length': 126.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.3, 'completions/min_terminated_length': 64.2, 'completions/max_terminated_length': 126.6, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.55, 'rewards/strict_format_and_content_reward/std': 0.8655659914016723, 'rewards/semantic_consistency_reward/mean': 0.11499999761581421, 'rewards/semantic_consistency_reward/std': 0.28507826328277586, 'rewards/conditional_perplexity_reward/mean': 0.13385803401470184, 'rewards/conditional_perplexity_reward/std': 0.047899000346660614, 'reward': 1.6738580346107483, 'reward_std': 1.430533230304718, 'frac_reward_zero_std': 0.0, 'entropy': 1.4832202523946763, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 44.67677875999361, 'epoch': 0.53}
{'loss': -0.0254, 'grad_norm': 0.73046875, 'learning_rate': 7.275e-07, 'num_tokens': 231370.0, 'completions/mean_length': 93.7, 'completions/min_length': 61.6, 'completions/max_length': 144.8, 'completions/clipped_ratio': 0.05, 'completions/mean_terminated_length': 87.86666717529297, 'completions/min_terminated_length': 61.6, 'completions/max_terminated_length': 125.6, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.8, 'rewards/strict_format_and_content_reward/std': 0.41916738748550414, 'rewards/semantic_consistency_reward/mean': 0.09499999284744262, 'rewards/semantic_consistency_reward/std': 0.31325358152389526, 'rewards/conditional_perplexity_reward/mean': 0.14045388549566268, 'rewards/conditional_perplexity_reward/std': 0.048253302648663524, 'reward': 1.9104538440704346, 'reward_std': 0.8818911023437976, 'frac_reward_zero_std': 0.0, 'entropy': 1.486694011092186, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 52.20380262010731, 'epoch': 0.55}
{'loss': -0.0611, 'grad_norm': 0.640625, 'learning_rate': 7.149999999999999e-07, 'num_tokens': 241803.0, 'completions/mean_length': 87.725, 'completions/min_length': 56.2, 'completions/max_length': 121.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 87.725, 'completions/min_terminated_length': 56.2, 'completions/max_terminated_length': 121.4, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.175, 'rewards/strict_format_and_content_reward/std': 1.7484997749328612, 'rewards/semantic_consistency_reward/mean': 0.07499999552965164, 'rewards/semantic_consistency_reward/std': 0.43810731172561646, 'rewards/conditional_perplexity_reward/mean': 0.121909599006176, 'rewards/conditional_perplexity_reward/std': 0.03614380769431591, 'reward': 0.8719095706939697, 'reward_std': 3.2047021865844725, 'frac_reward_zero_std': 0.0, 'entropy': 1.5299907118082046, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 41.38859086006414, 'epoch': 0.57}
{'loss': -0.0259, 'grad_norm': 0.734375, 'learning_rate': 7.024999999999999e-07, 'num_tokens': 252394.0, 'completions/mean_length': 92.775, 'completions/min_length': 62.4, 'completions/max_length': 144.2, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 90.0857147216797, 'completions/min_terminated_length': 62.4, 'completions/max_terminated_length': 128.6, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.55, 'rewards/strict_format_and_content_reward/std': 1.082810354232788, 'rewards/semantic_consistency_reward/mean': -0.020000000298023225, 'rewards/semantic_consistency_reward/std': 0.22116332054138182, 'rewards/conditional_perplexity_reward/mean': 0.136731880903244, 'rewards/conditional_perplexity_reward/std': 0.04002497158944607, 'reward': 1.4167317986488341, 'reward_std': 1.8296075761318207, 'frac_reward_zero_std': 0.0, 'entropy': 1.5338860243558883, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 53.63542567992117, 'epoch': 0.6}
{'loss': -0.0405, 'grad_norm': 0.65625, 'learning_rate': 6.9e-07, 'num_tokens': 263048.0, 'completions/mean_length': 95.45, 'completions/min_length': 62.4, 'completions/max_length': 138.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 95.45, 'completions/min_terminated_length': 62.4, 'completions/max_terminated_length': 138.2, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.636396074295044, 'rewards/semantic_consistency_reward/mean': 0.22499999552965164, 'rewards/semantic_consistency_reward/std': 0.46612905263900756, 'rewards/conditional_perplexity_reward/mean': 0.12165514826774597, 'rewards/conditional_perplexity_reward/std': 0.03811447843909264, 'reward': 2.121655082702637, 'reward_std': 0.9434540033340454, 'frac_reward_zero_std': 0.0, 'entropy': 1.5354055270552636, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 46.77238836004399, 'epoch': 0.62}
{'eval_loss': -0.043094485998153687, 'eval_runtime': 1006.0647, 'eval_samples_per_second': 0.05, 'eval_steps_per_second': 0.007, 'eval_num_tokens': 263048.0, 'eval_completions/mean_length': 92.095, 'eval_completions/min_length': 55.48, 'eval_completions/max_length': 142.44, 'eval_completions/clipped_ratio': 0.01, 'eval_completions/mean_terminated_length': 91.07571472167969, 'eval_completions/min_terminated_length': 55.48, 'eval_completions/max_terminated_length': 137.16, 'eval_rewards/lazy_penalty_reward/mean': -0.2, 'eval_rewards/lazy_penalty_reward/std': 0.5168461036682129, 'eval_rewards/strict_format_and_content_reward/mean': 1.57, 'eval_rewards/strict_format_and_content_reward/std': 0.9180067205429077, 'eval_rewards/semantic_consistency_reward/mean': 0.015999997854232787, 'eval_rewards/semantic_consistency_reward/std': 0.18483489155769348, 'eval_rewards/conditional_perplexity_reward/mean': 0.12979025542736053, 'eval_rewards/conditional_perplexity_reward/std': 0.040917703807353975, 'eval_reward': 1.5157902431488037, 'eval_reward_std': 1.4964891209453344, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5989125728607179, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.62}
{'loss': -0.0546, 'grad_norm': 0.7109375, 'learning_rate': 6.775e-07, 'num_tokens': 273187.0, 'completions/mean_length': 88.175, 'completions/min_length': 59.2, 'completions/max_length': 121.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 88.175, 'completions/min_terminated_length': 59.2, 'completions/max_terminated_length': 121.8, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.85, 'rewards/strict_format_and_content_reward/std': 0.4242640495300293, 'rewards/semantic_consistency_reward/mean': 0.07499999552965164, 'rewards/semantic_consistency_reward/std': 0.48715221881866455, 'rewards/conditional_perplexity_reward/mean': 0.13936067819595338, 'rewards/conditional_perplexity_reward/std': 0.04283011108636856, 'reward': 2.0643606901168825, 'reward_std': 0.7771296977996827, 'frac_reward_zero_std': 0.0, 'entropy': 1.4396749123930932, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 44.09143792001996, 'epoch': 0.65}
{'loss': 0.0047, 'grad_norm': 0.69921875, 'learning_rate': 6.65e-07, 'num_tokens': 284232.0, 'completions/mean_length': 100.625, 'completions/min_length': 56.8, 'completions/max_length': 165.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 98.13928680419922, 'completions/min_terminated_length': 56.8, 'completions/max_terminated_length': 154.0, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.4898780584335327, 'rewards/semantic_consistency_reward/mean': 0.11499999761581421, 'rewards/semantic_consistency_reward/std': 0.17068310379981994, 'rewards/conditional_perplexity_reward/mean': 0.12787131369113922, 'rewards/conditional_perplexity_reward/std': 0.03860232383012772, 'reward': 2.017871356010437, 'reward_std': 0.6406583089381457, 'frac_reward_zero_std': 0.0, 'entropy': 1.604254126548767, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 54.47938588003162, 'epoch': 0.68}
{'loss': -0.025, 'grad_norm': 0.75, 'learning_rate': 6.524999999999999e-07, 'num_tokens': 294513.0, 'completions/mean_length': 90.425, 'completions/min_length': 54.2, 'completions/max_length': 142.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 90.425, 'completions/min_terminated_length': 54.2, 'completions/max_terminated_length': 142.6, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.65, 'rewards/strict_format_and_content_reward/std': 0.9899494528770447, 'rewards/semantic_consistency_reward/mean': 0.11499999761581421, 'rewards/semantic_consistency_reward/std': 0.242921781539917, 'rewards/conditional_perplexity_reward/mean': 0.1169284388422966, 'rewards/conditional_perplexity_reward/std': 0.04158127307891846, 'reward': 1.7569284439086914, 'reward_std': 1.4528705716133117, 'frac_reward_zero_std': 0.0, 'entropy': 1.5781720027327537, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 49.86690632004756, 'epoch': 0.7}
{'loss': 0.0559, 'grad_norm': 0.72265625, 'learning_rate': 6.4e-07, 'num_tokens': 305212.0, 'completions/mean_length': 99.375, 'completions/min_length': 65.2, 'completions/max_length': 160.8, 'completions/clipped_ratio': 0.05, 'completions/mean_terminated_length': 93.74643096923828, 'completions/min_terminated_length': 65.2, 'completions/max_terminated_length': 131.6, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.85, 'rewards/strict_format_and_content_reward/std': 0.4242640495300293, 'rewards/semantic_consistency_reward/mean': 0.03999999612569809, 'rewards/semantic_consistency_reward/std': 0.418421196937561, 'rewards/conditional_perplexity_reward/mean': 0.12768350094556807, 'rewards/conditional_perplexity_reward/std': 0.04340991824865341, 'reward': 1.892683506011963, 'reward_std': 1.1271477937698364, 'frac_reward_zero_std': 0.0, 'entropy': 1.6087603509426116, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 53.85356188011356, 'epoch': 0.72}
{'loss': 0.0096, 'grad_norm': 0.6328125, 'learning_rate': 6.274999999999999e-07, 'num_tokens': 315088.0, 'completions/mean_length': 87.9, 'completions/min_length': 58.0, 'completions/max_length': 138.6, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 84.93928680419921, 'completions/min_terminated_length': 58.0, 'completions/max_terminated_length': 122.0, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 1.0606601238250732, 'rewards/semantic_consistency_reward/mean': 0.25999999046325684, 'rewards/semantic_consistency_reward/std': 0.3782816469669342, 'rewards/conditional_perplexity_reward/mean': 0.1377793163061142, 'rewards/conditional_perplexity_reward/std': 0.05064864605665207, 'reward': 1.7727792739868165, 'reward_std': 2.065704707056284, 'frac_reward_zero_std': 0.0, 'entropy': 1.44802256077528, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 46.796986759919676, 'epoch': 0.75}
{'eval_loss': -0.024579955264925957, 'eval_runtime': 985.0497, 'eval_samples_per_second': 0.051, 'eval_steps_per_second': 0.007, 'eval_num_tokens': 315088.0, 'eval_completions/mean_length': 92.07, 'eval_completions/min_length': 59.32, 'eval_completions/max_length': 138.88, 'eval_completions/clipped_ratio': 0.015, 'eval_completions/mean_terminated_length': 90.373095703125, 'eval_completions/min_terminated_length': 59.32, 'eval_completions/max_terminated_length': 132.64, 'eval_rewards/lazy_penalty_reward/mean': -0.125, 'eval_rewards/lazy_penalty_reward/std': 0.3047140550613403, 'eval_rewards/strict_format_and_content_reward/mean': 1.56, 'eval_rewards/strict_format_and_content_reward/std': 0.9343252325057984, 'eval_rewards/semantic_consistency_reward/mean': 0.057999998927116395, 'eval_rewards/semantic_consistency_reward/std': 0.20611000418663025, 'eval_rewards/conditional_perplexity_reward/mean': 0.12699589163064956, 'eval_rewards/conditional_perplexity_reward/std': 0.038734362870454786, 'eval_reward': 1.6199959087371827, 'eval_reward_std': 1.3580653767287731, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5571029090881348, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.75}
{'loss': -0.068, 'grad_norm': 0.70703125, 'learning_rate': 6.149999999999999e-07, 'num_tokens': 325657.0, 'completions/mean_length': 93.125, 'completions/min_length': 52.6, 'completions/max_length': 160.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 93.125, 'completions/min_terminated_length': 52.6, 'completions/max_terminated_length': 160.8, 'rewards/lazy_penalty_reward/mean': -0.625, 'rewards/lazy_penalty_reward/std': 1.2246560096740722, 'rewards/strict_format_and_content_reward/mean': 1.1, 'rewards/strict_format_and_content_reward/std': 1.6552788734436035, 'rewards/semantic_consistency_reward/mean': 0.03999999761581421, 'rewards/semantic_consistency_reward/std': 0.08944271802902222, 'rewards/conditional_perplexity_reward/mean': 0.12457414567470551, 'rewards/conditional_perplexity_reward/std': 0.04234339706599712, 'reward': 0.6395741820335388, 'reward_std': 2.900268456339836, 'frac_reward_zero_std': 0.0, 'entropy': 1.472523544728756, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 56.9475068599917, 'epoch': 0.78}
{'loss': -0.0774, 'grad_norm': 0.765625, 'learning_rate': 6.025000000000001e-07, 'num_tokens': 335928.0, 'completions/mean_length': 88.775, 'completions/min_length': 57.4, 'completions/max_length': 131.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 88.775, 'completions/min_terminated_length': 57.4, 'completions/max_terminated_length': 131.2, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.636396074295044, 'rewards/semantic_consistency_reward/mean': 0.16999999880790712, 'rewards/semantic_consistency_reward/std': 0.20487579703330994, 'rewards/conditional_perplexity_reward/mean': 0.1272251144051552, 'rewards/conditional_perplexity_reward/std': 0.03849702849984169, 'reward': 1.9472251176834106, 'reward_std': 1.179360231757164, 'frac_reward_zero_std': 0.0, 'entropy': 1.512036171555519, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 44.47107830001041, 'epoch': 0.8}
{'loss': 0.0137, 'grad_norm': 0.73046875, 'learning_rate': 5.9e-07, 'num_tokens': 346568.0, 'completions/mean_length': 96.3, 'completions/min_length': 61.6, 'completions/max_length': 142.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 93.47142944335937, 'completions/min_terminated_length': 61.6, 'completions/max_terminated_length': 126.6, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.7, 'rewards/strict_format_and_content_reward/std': 0.8485280990600585, 'rewards/semantic_consistency_reward/mean': 0.0449999988079071, 'rewards/semantic_consistency_reward/std': 0.09665845632553101, 'rewards/conditional_perplexity_reward/mean': 0.12159149050712585, 'rewards/conditional_perplexity_reward/std': 0.037886982411146165, 'reward': 1.6165915727615356, 'reward_std': 1.6712775625288487, 'frac_reward_zero_std': 0.0, 'entropy': 1.6416601151227952, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 51.933331659971735, 'epoch': 0.82}
{'loss': -0.0326, 'grad_norm': 0.6875, 'learning_rate': 5.775e-07, 'num_tokens': 357234.0, 'completions/mean_length': 96.55, 'completions/min_length': 57.4, 'completions/max_length': 145.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 96.55, 'completions/min_terminated_length': 57.4, 'completions/max_terminated_length': 145.2, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 1.0606601238250732, 'rewards/semantic_consistency_reward/mean': 0.02999999523162842, 'rewards/semantic_consistency_reward/std': 0.33086557388305665, 'rewards/conditional_perplexity_reward/mean': 0.1341316282749176, 'rewards/conditional_perplexity_reward/std': 0.03611054010689259, 'reward': 1.5391316294670105, 'reward_std': 1.8814257618039847, 'frac_reward_zero_std': 0.0, 'entropy': 1.5580949574708938, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 49.5153442599345, 'epoch': 0.85}
{'loss': -0.0785, 'grad_norm': 0.6484375, 'learning_rate': 5.649999999999999e-07, 'num_tokens': 368391.0, 'completions/mean_length': 101.725, 'completions/min_length': 62.6, 'completions/max_length': 156.2, 'completions/clipped_ratio': 0.05, 'completions/mean_terminated_length': 96.72143096923828, 'completions/min_terminated_length': 62.6, 'completions/max_terminated_length': 137.6, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.46291003227233884, 'rewards/strict_format_and_content_reward/mean': 1.525, 'rewards/strict_format_and_content_reward/std': 0.909324336051941, 'rewards/semantic_consistency_reward/mean': 0.14999999701976777, 'rewards/semantic_consistency_reward/std': 0.19162455797195435, 'rewards/conditional_perplexity_reward/mean': 0.15844286382198333, 'rewards/conditional_perplexity_reward/std': 0.05161624774336815, 'reward': 1.5834428548812867, 'reward_std': 1.4745775893330575, 'frac_reward_zero_std': 0.0, 'entropy': 1.4924482494592666, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 52.090306399948894, 'epoch': 0.88}
{'eval_loss': -0.046189021319150925, 'eval_runtime': 1064.6469, 'eval_samples_per_second': 0.047, 'eval_steps_per_second': 0.007, 'eval_num_tokens': 368391.0, 'eval_completions/mean_length': 90.665, 'eval_completions/min_length': 55.12, 'eval_completions/max_length': 148.04, 'eval_completions/clipped_ratio': 0.025, 'eval_completions/mean_terminated_length': 87.75785797119141, 'eval_completions/min_terminated_length': 55.12, 'eval_completions/max_terminated_length': 132.0, 'eval_rewards/lazy_penalty_reward/mean': -0.125, 'eval_rewards/lazy_penalty_reward/std': 0.3535534143447876, 'eval_rewards/strict_format_and_content_reward/mean': 1.635, 'eval_rewards/strict_format_and_content_reward/std': 0.8483719539642334, 'eval_rewards/semantic_consistency_reward/mean': 0.05899999499320984, 'eval_rewards/semantic_consistency_reward/std': 0.1893872117996216, 'eval_rewards/conditional_perplexity_reward/mean': 0.12438367038965226, 'eval_rewards/conditional_perplexity_reward/std': 0.042516975477337834, 'eval_reward': 1.6933836698532105, 'eval_reward_std': 1.3272543305903672, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5784408664703369, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.88}
{'loss': -0.072, 'grad_norm': 0.546875, 'learning_rate': 5.525e-07, 'num_tokens': 379350.0, 'completions/mean_length': 96.475, 'completions/min_length': 63.4, 'completions/max_length': 132.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 96.475, 'completions/min_terminated_length': 63.4, 'completions/max_terminated_length': 132.0, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.65, 'rewards/strict_format_and_content_reward/std': 0.851882028579712, 'rewards/semantic_consistency_reward/mean': 0.1499999940395355, 'rewards/semantic_consistency_reward/std': 0.2953622877597809, 'rewards/conditional_perplexity_reward/mean': 0.1481122702360153, 'rewards/conditional_perplexity_reward/std': 0.04734774045646191, 'reward': 1.6981122970581055, 'reward_std': 1.7366082474589348, 'frac_reward_zero_std': 0.0, 'entropy': 1.5179392203688622, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 45.14649115994107, 'epoch': 0.9}
{'loss': -0.0884, 'grad_norm': 0.60546875, 'learning_rate': 5.4e-07, 'num_tokens': 389862.0, 'completions/mean_length': 92.6, 'completions/min_length': 54.6, 'completions/max_length': 134.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 92.6, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 134.6, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.7, 'rewards/strict_format_and_content_reward/std': 0.7020100831985474, 'rewards/semantic_consistency_reward/mean': -0.015000000596046448, 'rewards/semantic_consistency_reward/std': 0.0930437684059143, 'rewards/conditional_perplexity_reward/mean': 0.12817579954862596, 'rewards/conditional_perplexity_reward/std': 0.05131785869598389, 'reward': 1.6881757974624634, 'reward_std': 1.1247642766684294, 'frac_reward_zero_std': 0.0, 'entropy': 1.475408735871315, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 46.19028994003311, 'epoch': 0.93}
